Informant	Case
TOR_C_0001_tagged.txt	0
TOR_C_0001_tagged.txt	0
TOR_C_0001_tagged.txt	0
TOR_C_0001_tagged.txt	0
TOR_C_0001_tagged.txt	1
TOR_C_0001_tagged.txt	0
TOR_C_0001_tagged.txt	0
TOR_C_00010_tagged.txt	0
TOR_C_00010_tagged.txt	0
TOR_C_00010_tagged.txt	0
TOR_C_00010_tagged.txt	0
TOR_C_00010_tagged.txt	0
TOR_C_00010_tagged.txt	0
TOR_C_00010_tagged.txt	0
TOR_C_00010_tagged.txt	0
TOR_C_00010_tagged.txt	0
TOR_C_00010_tagged.txt	0
TOR_C_00010_tagged.txt	0
TOR_C_00010_tagged.txt	0
TOR_C_00010_tagged.txt	0
TOR_C_00010_tagged.txt	0
TOR_C_00010_tagged.txt	0
TOR_C_00010_tagged.txt	0
TOR_C_00010_tagged.txt	0
TOR_C_00011_tagged.txt	1
TOR_C_00013_tagged.txt	0
TOR_C_00013_tagged.txt	0
TOR_C_00013_tagged.txt	0
TOR_C_00015_tagged.txt	0
TOR_C_00015_tagged.txt	0
TOR_C_00015_tagged.txt	0
TOR_C_00016_tagged.txt	0
TOR_C_00016_tagged.txt	0
TOR_C_00016_tagged.txt	0
TOR_C_00016_tagged.txt	0
TOR_C_00016_tagged.txt	0
TOR_C_00016_tagged.txt	0
TOR_C_00016_tagged.txt	0
TOR_C_00016_tagged.txt	0
TOR_C_00016_tagged.txt	0
TOR_C_00016_tagged.txt	0
TOR_C_00016_tagged.txt	0
TOR_C_00016_tagged.txt	0
TOR_C_00016_tagged.txt	0
TOR_C_00016_tagged.txt	0
TOR_C_00016_tagged.txt	0
TOR_C_00016_tagged.txt	1
TOR_C_00016_tagged.txt	1
TOR_C_00016_tagged.txt	1
TOR_C_00016_tagged.txt	1
TOR_C_00016_tagged.txt	1
TOR_C_00016_tagged.txt	0
TOR_C_00016_tagged.txt	0
TOR_C_00016_tagged.txt	0
TOR_C_00016_tagged.txt	0
TOR_C_00016_tagged.txt	0
TOR_C_00016_tagged.txt	0
TOR_C_00016_tagged.txt	0
TOR_C_00016_tagged.txt	0
TOR_C_00016_tagged.txt	0
TOR_C_00017_tagged.txt	0
TOR_C_00018_tagged.txt	0
TOR_C_00018_tagged.txt	0
TOR_C_00018_tagged.txt	0
TOR_C_00018_tagged.txt	0
TOR_C_00018_tagged.txt	0
TOR_C_00018_tagged.txt	1
TOR_C_00018_tagged.txt	0
TOR_C_00019_tagged.txt	0
TOR_C_00019_tagged.txt	0
TOR_C_00019_tagged.txt	0
TOR_C_00019_tagged.txt	0
TOR_C_00019_tagged.txt	0
TOR_C_00019_tagged.txt	0
TOR_C_00019_tagged.txt	0
TOR_C_00019_tagged.txt	0
TOR_C_00019_tagged.txt	0
TOR_C_00019_tagged.txt	0
TOR_C_00019_tagged.txt	0
TOR_C_00019_tagged.txt	0
TOR_C_00019_tagged.txt	0
TOR_C_00019_tagged.txt	0
TOR_C_00019_tagged.txt	0
